segment_label,frame_number,angle_group,angle_value,categories,segment_total_frames
0:00:06.966667-0:00:09.833333,28,group2,35.20069128398136,original,87
0:00:06.966667-0:00:09.833333,29,group2,35.39991424169229,original,87
0:00:06.966667-0:00:09.833333,30,group2,13.382575763460865,original,87
0:00:06.966667-0:00:09.833333,31,group2,35.97993732110435,original,87
0:00:06.966667-0:00:09.833333,32,group2,36.38767912398661,original,87
0:00:06.966667-0:00:09.833333,33,group2,36.978698807962395,original,87
0:00:06.966667-0:00:09.833333,34,group2,37.345626815459234,original,87
0:00:06.966667-0:00:09.833333,35,group2,37.66407072513274,original,87
0:00:06.966667-0:00:09.833333,36,group2,37.717342785564256,original,87
0:00:06.966667-0:00:09.833333,37,group2,37.60858226831556,original,87
0:00:06.966667-0:00:09.833333,38,group2,37.37088827010452,original,87
0:00:06.966667-0:00:09.833333,39,group2,37.866425324578124,original,87
0:00:06.966667-0:00:09.833333,40,group2,38.22666657687752,original,87
0:00:06.966667-0:00:09.833333,41,group2,38.400733947875295,original,87
0:00:06.966667-0:00:09.833333,42,group2,38.333118490186756,original,87
0:00:06.966667-0:00:09.833333,43,group2,38.76496403064998,original,87
0:00:06.966667-0:00:09.833333,44,group2,38.38521234298644,original,87
0:00:06.966667-0:00:09.833333,45,group2,37.90478366695691,original,87
0:00:06.966667-0:00:09.833333,46,group2,37.87234709858852,original,87
0:00:06.966667-0:00:09.833333,47,group2,38.047988828189986,original,87
0:00:06.966667-0:00:09.833333,48,group2,37.498448883043686,original,87
0:00:06.966667-0:00:09.833333,49,group2,36.81002728640893,original,87
0:00:06.966667-0:00:09.833333,50,group2,36.15979327742372,original,87
0:00:06.966667-0:00:09.833333,51,group2,35.94257960143897,original,87
0:00:06.966667-0:00:09.833333,52,group2,35.71255932076045,original,87
0:00:06.966667-0:00:09.833333,53,group2,35.53731374213085,original,87
0:00:06.966667-0:00:09.833333,54,group2,35.2269192103942,original,87
0:00:06.966667-0:00:09.833333,55,group2,35.11519780614031,original,87
0:00:06.966667-0:00:09.833333,56,group2,35.46576068038579,original,87
0:00:06.966667-0:00:09.833333,57,group2,35.66400009085624,original,87
0:00:06.966667-0:00:09.833333,58,group2,35.73536873749371,original,87
0:00:06.966667-0:00:09.833333,59,group2,36.114973576090094,original,87
0:00:06.966667-0:00:09.833333,60,group2,36.784328699656754,original,87
0:00:06.966667-0:00:09.833333,61,group2,36.828748834923935,original,87
0:00:06.966667-0:00:09.833333,62,group2,37.3248152290582,original,87
